id,category,name,status,result,severity,evidence,notes
WSTG-CONF-11,Configuration & Deployment Mgmt,Test Cloud Storage,not-started,,,,
WSTG-CRYP-01,Cryptography,Testing for Weak Transport Layer Security,not-started,,,,
WSTG-CRYP-02,Cryptography,Testing for Padding Oracle,not-started,,,,
WSTG-CRYP-03,Cryptography,Testing for Sensitive Information Sent via Unencrypted Channels,not-started,,,,
WSTG-CRYP-04,Cryptography,Testing for Weak Encryption,not-started,,,,
WSTG-ERRH-01,Error Handling,Testing for Improper Error Handling,not-started,,,,
WSTG-ERRH-02,Error Handling,Testing for Stack Traces,not-started,,,,
WSTG-IDNT-01,Identity Management,Test Role Definitions,not-started,,,,
WSTG-IDNT-02,Identity Management,Test User Registration Process,not-started,,,,
WSTG-IDNT-03,Identity Management,Test Account Provisioning Process,not-started,,,,
WSTG-IDNT-04,Identity Management,Testing for Account Enumeration and Guessable User Account,not-started,,,,
WSTG-IDNT-05,Identity Management,Testing for Weak or Unenforced Username Policy,not-started,,,,
WSTG-INFO-01,Information Gathering,Conduct Search Engine Discovery Reconnaissance for Information Leakage,not-started,,,,
WSTG-INFO-02,Information Gathering,Fingerprint Web Server,not-started,,,,
WSTG-INFO-03,Information Gathering,Review Webserver Metafiles for Information Leakage,not-started,,,,
WSTG-INFO-04,Information Gathering,Enumerate Applications on Webserver,not-started,,,,
WSTG-INFO-05,Information Gathering,Review Webpage Content for Information Leakage,not-started,,,,
WSTG-INFO-06,Information Gathering,Identify Application Entry Points,not-started,,,,
WSTG-INFO-07,Information Gathering,Map Execution Paths Through Application,not-started,,,,
WSTG-INFO-08,Information Gathering,Fingerprint Web Application Framework,not-started,,,,
WSTG-INFO-09,Information Gathering,Fingerprint Web Application,not-started,,,,
WSTG-INFO-10,Information Gathering,Map Application Architecture,not-started,,,,
WSTG-INPV-01,Input Validation,Testing for Reflected Cross Site Scripting,not-started,,,,
WSTG-INPV-02,Input Validation,Testing for Stored Cross Site Scripting,not-started,,,,
WSTG-INPV-03,Input Validation,Testing for HTTP Verb Tampering,not-started,,,,
WSTG-INPV-04,Input Validation,Testing for HTTP Parameter Pollution,not-started,,,,
WSTG-INPV-05,Input Validation,Testing for SQL Injection,not-started,,,,
WSTG-INPV-06,Input Validation,Testing for LDAP Injection,not-started,,,,
WSTG-INPV-07,Input Validation,Testing for XML Injection,not-started,,,,
WSTG-INPV-08,Input Validation,Testing for SSI Injection,not-started,,,,
WSTG-INPV-09,Input Validation,Testing for XPath Injection,not-started,,,,
WSTG-INPV-10,Input Validation,Testing for IMAP SMTP Injection,not-started,,,,
WSTG-INPV-11,Input Validation,Testing for Code Injection,not-started,,,,
WSTG-INPV-12,Input Validation,Testing for Command Injection,not-started,,,,
WSTG-INPV-13,Input Validation,Testing for Format String Injection,not-started,,,,
WSTG-INPV-14,Input Validation,Testing for Incubated Vulnerability,not-started,,,,
WSTG-INPV-15,Input Validation,Testing for HTTP Splitting Smuggling,not-started,,,,
WSTG-INPV-16,Input Validation,Testing for HTTP Incoming Requests,not-started,,,,
WSTG-INPV-17,Input Validation,Testing for Host Header Injection,not-started,,,,
WSTG-INPV-18,Input Validation,Testing for Server-side Template Injection,not-started,,,,
WSTG-INPV-19,Input Validation,Testing for Server-Side Request Forgery,not-started,,,,
WSTG-SESS-01,Session Management,Testing for Session Management Schema,not-started,,,,
WSTG-SESS-02,Session Management,Testing for Cookies Attributes,not-started,,,,
WSTG-SESS-03,Session Management,Testing for Session Fixation,not-started,,,,
WSTG-SESS-04,Session Management,Testing for Exposed Session Variables,not-started,,,,
WSTG-SESS-05,Session Management,Testing for Cross Site Request Forgery,not-started,,,,
WSTG-SESS-06,Session Management,Testing for Logout Functionality,not-started,,,,
WSTG-SESS-07,Session Management,Testing Session Timeout,not-started,,,,
WSTG-SESS-08,Session Management,Testing for Session Puzzling,not-started,,,,
WSTG-SESS-09,Session Management,Testing for Session Hijacking,not-started,,,,
